Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:04:24,2023-05-27 18:05:02,37.995s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:04:24,2023-05-27 18:04:34,9.360s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:04:25,2023-05-27 18:04:29,4.416s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:04:29,2023-05-27 18:04:31,1.122s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:04:31,2023-05-27 18:04:32,1.414s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:04:32,2023-05-27 18:04:33,0.925s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:04:33,2023-05-27 18:04:34,0.616s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:04:34,2023-05-27 18:04:34,0.276s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:04:34,2023-05-27 18:04:40,5.996s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:04:34,2023-05-27 18:04:36,2.568s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:04:36,2023-05-27 18:04:37,0.636s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:04:37,2023-05-27 18:04:38,1.238s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:04:38,2023-05-27 18:04:39,0.756s,PASSED
