Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginMultiData,Chrome 113.0.0.0,,,2023-05-27 17:41:39,2023-05-27 17:43:24,1m - 45.009s,FAILED
,,,,,,,
Test Cases/TC001-Login,Chrome 113.0.0.0,,,2023-05-27 17:41:59,2023-05-27 17:42:04,5.177s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 17:41:59,2023-05-27 17:42:02,2.691s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 17:42:02,2023-05-27 17:42:03,1.039s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 17:42:03,2023-05-27 17:42:04,1.178s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 17:42:04,2023-05-27 17:42:04,0.234s,FAILED
,,,,,,,
Test Cases/TC001-Login,Chrome 113.0.0.0,,,2023-05-27 17:42:20,2023-05-27 17:42:25,4.531s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 17:42:21,2023-05-27 17:42:23,2.534s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 17:42:23,2023-05-27 17:42:24,0.699s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 17:42:24,2023-05-27 17:42:25,1.057s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 17:42:25,2023-05-27 17:42:25,0.188s,FAILED
,,,,,,,
Test Cases/TC001-Login,Chrome 113.0.0.0,,,2023-05-27 17:42:40,2023-05-27 17:42:45,5.490s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 17:42:40,2023-05-27 17:42:42,2.611s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 17:42:42,2023-05-27 17:42:44,1.353s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 17:42:44,2023-05-27 17:42:45,1.158s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 17:42:45,2023-05-27 17:42:45,0.347s,FAILED
,,,,,,,
Test Cases/TC001-Login,Chrome 113.0.0.0,,,2023-05-27 17:43:00,2023-05-27 17:43:05,4.840s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 17:43:00,2023-05-27 17:43:03,2.824s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 17:43:03,2023-05-27 17:43:03,0.555s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 17:43:03,2023-05-27 17:43:05,1.175s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 17:43:05,2023-05-27 17:43:05,0.274s,FAILED
,,,,,,,
Test Cases/TC001-Login,Chrome 113.0.0.0,,,2023-05-27 17:43:19,2023-05-27 17:43:24,4.627s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 17:43:19,2023-05-27 17:43:22,2.686s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 17:43:22,2023-05-27 17:43:23,0.637s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 17:43:23,2023-05-27 17:43:24,1.100s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 17:43:24,2023-05-27 17:43:24,0.189s,FAILED
