Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:43:15,2023-05-27 18:45:20,2m - 4.220s,PASSED
,,,,,,,
Test Cases/TC003 - PassNull,Chrome 113.0.0.0,,,2023-05-27 18:43:16,2023-05-27 18:44:13,57.181s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:43:17,2023-05-27 18:43:22,5.016s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:43:22,2023-05-27 18:44:11,49.380s,PASSED
"setText(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:44:11,2023-05-27 18:44:13,1.154s,PASSED
"click(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:44:13,2023-05-27 18:44:13,0.535s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:44:13,2023-05-27 18:44:13,0.257s,PASSED
,,,,,,,
Test Cases/TC003 - PassNull,Chrome 113.0.0.0,,,2023-05-27 18:44:13,2023-05-27 18:44:22,8.616s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:44:13,2023-05-27 18:44:16,2.693s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:44:16,2023-05-27 18:44:20,4.144s,PASSED
"setText(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:44:20,2023-05-27 18:44:21,1.062s,PASSED
"click(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:44:21,2023-05-27 18:44:22,0.443s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:44:22,2023-05-27 18:44:22,0.247s,PASSED
,,,,,,,
Test Cases/TC003 - PassNull,Chrome 113.0.0.0,,,2023-05-27 18:44:22,2023-05-27 18:44:49,26.460s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:44:22,2023-05-27 18:44:25,2.700s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:44:25,2023-05-27 18:44:47,21.896s,PASSED
"setText(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:44:47,2023-05-27 18:44:48,1.068s,PASSED
"click(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:44:48,2023-05-27 18:44:48,0.492s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:44:48,2023-05-27 18:44:49,0.284s,PASSED
,,,,,,,
Test Cases/TC003 - PassNull,Chrome 113.0.0.0,,,2023-05-27 18:44:49,2023-05-27 18:45:00,11.059s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:44:49,2023-05-27 18:44:51,2.738s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:44:51,2023-05-27 18:44:58,6.499s,PASSED
"setText(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:44:58,2023-05-27 18:44:59,1.076s,PASSED
"click(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:44:59,2023-05-27 18:44:59,0.468s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:44:59,2023-05-27 18:45:00,0.254s,PASSED
,,,,,,,
Test Cases/TC003 - PassNull,Chrome 113.0.0.0,,,2023-05-27 18:45:00,2023-05-27 18:45:20,19.948s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:45:00,2023-05-27 18:45:02,2.464s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:45:02,2023-05-27 18:45:18,15.432s,PASSED
"setText(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:45:18,2023-05-27 18:45:19,1.324s,PASSED
"click(findTestObject(""Object Repository/TC003_PassNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:45:19,2023-05-27 18:45:19,0.467s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:45:19,2023-05-27 18:45:20,0.236s,PASSED
