Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTest,Chrome 113.0.0.0,,,2023-05-27 19:27:17,2023-05-27 19:34:23,7m - 6.378s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 19:27:17,2023-05-27 19:27:49,31.681s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:27:18,2023-05-27 19:27:22,4.326s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:27:22,2023-05-27 19:27:46,23.882s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 19:27:46,2023-05-27 19:27:48,1.222s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:27:48,2023-05-27 19:27:48,0.813s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:27:48,2023-05-27 19:27:49,0.525s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:27:49,2023-05-27 19:27:49,0.240s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 19:27:49,2023-05-27 19:28:01,12.256s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:27:49,2023-05-27 19:27:52,2.564s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:27:52,2023-05-27 19:27:59,6.827s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 19:27:59,2023-05-27 19:28:00,1.067s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:28:00,2023-05-27 19:28:01,0.863s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:28:01,2023-05-27 19:28:01,0.660s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:28:01,2023-05-27 19:28:01,0.246s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 19:28:01,2023-05-27 19:28:16,14.336s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:28:02,2023-05-27 19:28:04,2.462s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:28:04,2023-05-27 19:28:08,4.205s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 19:28:08,2023-05-27 19:28:09,1.086s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:28:09,2023-05-27 19:28:10,0.817s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:28:10,2023-05-27 19:28:16,5.519s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:28:16,2023-05-27 19:28:16,0.215s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 19:28:16,2023-05-27 19:28:40,24.351s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:28:16,2023-05-27 19:28:18,2.524s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:28:18,2023-05-27 19:28:38,19.334s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 19:28:38,2023-05-27 19:28:39,1.049s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:28:39,2023-05-27 19:28:40,0.753s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:28:40,2023-05-27 19:28:40,0.455s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:28:40,2023-05-27 19:28:40,0.215s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 19:28:40,2023-05-27 19:29:10,29.481s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:28:40,2023-05-27 19:28:43,2.757s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:28:43,2023-05-27 19:29:07,24.337s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 19:29:07,2023-05-27 19:29:08,0.972s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:29:08,2023-05-27 19:29:09,0.774s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:29:09,2023-05-27 19:29:10,0.410s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:29:10,2023-05-27 19:29:10,0.197s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 19:29:10,2023-05-27 19:29:29,18.750s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:29:10,2023-05-27 19:29:13,2.422s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:29:13,2023-05-27 19:29:27,14.141s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:29:27,2023-05-27 19:29:28,1.045s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:29:28,2023-05-27 19:29:28,0.474s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:29:28,2023-05-27 19:29:29,0.221s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 19:29:29,2023-05-27 19:29:38,8.933s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:29:29,2023-05-27 19:29:31,2.468s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:29:31,2023-05-27 19:29:36,4.734s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:29:36,2023-05-27 19:29:37,1.072s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:29:37,2023-05-27 19:29:37,0.443s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:29:37,2023-05-27 19:29:38,0.201s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 19:32:02,2023-05-27 19:32:12,9.879s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:32:02,2023-05-27 19:32:05,3.298s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:32:05,2023-05-27 19:32:10,4.589s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:32:10,2023-05-27 19:32:11,1.133s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:32:11,2023-05-27 19:32:12,0.637s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:32:12,2023-05-27 19:32:12,0.201s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 19:32:12,2023-05-27 19:32:20,8.368s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:32:12,2023-05-27 19:32:14,2.441s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:32:14,2023-05-27 19:32:18,4.267s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:32:18,2023-05-27 19:32:19,0.982s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:32:19,2023-05-27 19:32:20,0.437s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:32:20,2023-05-27 19:32:20,0.227s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 19:32:20,2023-05-27 19:33:13,52.928s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:32:20,2023-05-27 19:32:23,2.498s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:32:23,2023-05-27 19:33:07,44.121s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 19:33:07,2023-05-27 19:33:11,4.347s,PASSED
