Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:17:01,2023-05-27 18:17:01,0.688s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:17:01,2023-05-27 18:17:03,1.315s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:17:03,2023-05-27 18:17:03,0.570s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:17:03,2023-05-27 18:17:03,0.195s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 18:17:03,2023-05-27 18:17:08,4.854s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:17:04,2023-05-27 18:17:06,2.369s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:17:06,2023-05-27 18:17:06,0.608s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:17:06,2023-05-27 18:17:08,1.149s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:17:08,2023-05-27 18:17:08,0.422s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:17:08,2023-05-27 18:17:08,0.287s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 18:17:08,2023-05-27 18:17:13,4.797s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:17:08,2023-05-27 18:17:11,2.417s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:17:11,2023-05-27 18:17:11,0.609s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:17:11,2023-05-27 18:17:13,1.107s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:17:13,2023-05-27 18:17:13,0.447s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:17:13,2023-05-27 18:17:13,0.201s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 18:17:13,2023-05-27 18:17:18,4.723s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:17:13,2023-05-27 18:17:16,2.457s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:17:16,2023-05-27 18:17:16,0.584s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:17:16,2023-05-27 18:17:17,0.995s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:17:17,2023-05-27 18:17:18,0.422s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:17:18,2023-05-27 18:17:18,0.235s,PASSED
,,,,,,,
Test Cases/TC002 - UsernameNull,Chrome 113.0.0.0,,,2023-05-27 18:17:18,2023-05-27 18:17:23,4.506s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:17:18,2023-05-27 18:17:20,2.343s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:17:20,2023-05-27 18:17:21,0.528s,PASSED
"setText(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:17:21,2023-05-27 18:17:22,1.022s,PASSED
"click(findTestObject(""Object Repository/TC002_UsernameNull/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:17:22,2023-05-27 18:17:22,0.382s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:17:22,2023-05-27 18:17:23,0.219s,PASSED
